using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 2640 batches
Using OneCycleLR scheduler with max_lr=0.0003 and total_steps=10000
step 104, loss: 3.6616, current_lr: 0.000013
step 105, loss: 4.6835, current_lr: 0.000013
step 106, loss: 5.4768, current_lr: 0.000013
step 107, loss: 4.0091, current_lr: 0.000013
step 108, loss: 4.0430, current_lr: 0.000013
step 109, loss: 3.6427, current_lr: 0.000013
step 110, loss: 4.6411, current_lr: 0.000013
step 111, loss: 4.0941, current_lr: 0.000013
step 112, loss: 3.6287, current_lr: 0.000013
step 113, loss: 4.1857, current_lr: 0.000013
step 114, loss: 4.2596, current_lr: 0.000013
step 115, loss: 4.4260, current_lr: 0.000013
step 116, loss: 4.1455, current_lr: 0.000013
step 117, loss: 4.1857, current_lr: 0.000013
step 118, loss: 3.7948, current_lr: 0.000013
step 119, loss: 3.7417, current_lr: 0.000013
step 120, loss: 4.0444, current_lr: 0.000013
step 121, loss: 4.0006, current_lr: 0.000013
step 122, loss: 4.8750, current_lr: 0.000013
step 123, loss: 4.7482, current_lr: 0.000013
step 124, loss: 4.8931, current_lr: 0.000013
step 125, loss: 3.5933, current_lr: 0.000013
step 126, loss: 3.0901, current_lr: 0.000013
Saved best model with loss: 3.0901 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.0901.pt
step 127, loss: 3.5819, current_lr: 0.000013
step 128, loss: 3.5811, current_lr: 0.000013
step 129, loss: 3.2768, current_lr: 0.000013
step 130, loss: 4.1138, current_lr: 0.000013
step 131, loss: 4.4487, current_lr: 0.000013
step 132, loss: 4.1662, current_lr: 0.000013
step 133, loss: 3.9438, current_lr: 0.000013
step 134, loss: 3.5324, current_lr: 0.000013
step 135, loss: 3.5891, current_lr: 0.000013
step 136, loss: 3.0362, current_lr: 0.000013
Saved best model with loss: 3.0362 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.0362.pt
step 137, loss: 3.5935, current_lr: 0.000014
step 138, loss: 3.6605, current_lr: 0.000014
step 139, loss: 3.3779, current_lr: 0.000014
step 140, loss: 4.2684, current_lr: 0.000014
step 141, loss: 4.4251, current_lr: 0.000014
step 142, loss: 4.7831, current_lr: 0.000014
step 143, loss: 3.4631, current_lr: 0.000014
step 144, loss: 3.1158, current_lr: 0.000014
step 145, loss: 2.9064, current_lr: 0.000014
Saved best model with loss: 2.9064 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.9064.pt
step 146, loss: 3.6145, current_lr: 0.000014
step 147, loss: 3.6232, current_lr: 0.000014
step 148, loss: 3.9885, current_lr: 0.000014
step 149, loss: 4.6283, current_lr: 0.000014
step 150, loss: 4.1558, current_lr: 0.000014
step 151, loss: 4.1229, current_lr: 0.000014
step 152, loss: 4.2582, current_lr: 0.000014
step 153, loss: 4.2641, current_lr: 0.000014
step 154, loss: 4.2713, current_lr: 0.000014
